Video Link,Primary Tag,Secondary Tag,Rating,Description
zLE2AdYO0M4,inappropriate,Display of weapons,Mild,Punjabi song. contains gunfiring sounds and rash driving
hssveOP_8uo,inappropriate,Scariness,Extreme,Video game ad of a base building game. Shows characters dying (albeit no gore) and unsettling creatures 
QD32dTMemkI,irrelevant,Software,,ad shows a woman explaining the photo editing app Photo Vibrance
M880b1yqy4s,inappropriate,Intimacy,Mild,Punjabi song. shows an animation of a woman running. No apparent inappropriate content in lyrics/video
w6TwSpuhA4g,inappropriate,"Drinking, drugs, smoking",Moderate,italian music video. Contains romantic contact and drinking
ZelVyOCWqAU,inappropriate,Intimacy,Mild,Song contains suggestive themes of intimacy
9aJIa5iJkWM,inappropriate,"Drinking, drugs, smoking",Moderate,Song contains scenes of drinking alcohol
NY3dMQeV-nQ,irrelevant,Travel & Adventure,,Ad shows a qatar airway flight to different destination
TjxskTJd9eM,irrelevant,Software,,Ad shows a walkthrough of an app that can be used to rent out robotics equipment
YT2Tcehr36Y,inappropriate,Offensive language,Extreme,"Song contains inappropriate language. In the lyrics in the video, it is also written ""many bitches wish""."
5ODxRNXxoWg,irrelevant,Education & Learning,,ad about the popular english language test toefl. shows a group of friends celebrating a person's score
XlUrLwkXTAc,inaudible,Different Language,,Song sounds romantic. no immediate intimacy. cannot interpret lyrics
KxWZp4uOQAA,inaudible,Different Language,,Song with an old man in the slideshows. Cannot make out lyrics
rffvbECTzkY,irrelevant,Software,,ad promoting a software to watch the Indian Premiere league
CxUcLE-SuqE,irrelevant,Software,,ad showing a service to make shopify management easier
BqQRPRNRZ3U,inappropriate,Intimacy,Mild,ad showing a music video with a deep theme of intimacy
-JlqGqRYKcw,irrelevant,Education & Learning,,Ad to promote education in australia and how to go there
-6dleqTJs0o,inappropriate,Offensive language,Moderate,uses inappropriate language such as refering women as drugs etc
sjsghUoy-d0,irrelevant,Education & Learning,,Ad showing a university's facilities
2ORtf3b2NJU,inappropriate,Scariness,Mild,Video game ad of a base building game. Some creatures are unsettling
Bt_cDnlEeoo,irrelevant,Software,,App about a business management site
sKKRzx6GXv8,irrelevant,Machinery,,Ad shows block manufacturing technology produced by the company for industrial use
1dDNuWywXdA,irrelevant,Music & Performance,,Ad about a music video thanking god for the good things. not aimed at any particular religion
gUrEMgV-rV0,irrelevant,Fashion,,Ad about a clothing collection for women by zeen
XEJu8DKjj20,inappropriate,Physical Violence,Extreme,"Ad shows offensive signs, drinking, street violence. about a punjabi music video"
BNYSEpzgdDA,irrelevant,Social Issues & Activism,,Ad by pepsi to promote women driving motorcycles
OKE1JmVIi_o,irrelevant,Poems/Songs/Nursery Rhymes/Music,,Ad about a music video about a mother and child
morS4Hb9HHo,child directed,Kids Cooking & Food,,"Ad about milo, a chocolate milk aimed for kids"
8IK_PecdXmc,irrelevant,Business & Entrepreneurship,,Ad about a presentation which explains the high end market of private jets
vkBR70LAMuE,inaudible,Different Language,,Ad was only slides and no verbal audio. Contained an unfamiliar language
QNXeE1ehBh0,irrelevant,Music & Performance,,Contained a music beat with a cartoon shark standing. 
TljfaTh6-hI,inappropriate,Gambling,Mild,Ad is about a sandbox game where there is virtual areas which you can buy and sell on real money and NFTs which has an associated gambling risk. The app's website also lists it as 18+
slniKxBEVSA,inappropriate,Intimacy,Mild,Punjabi song with a large amount of sensual contact and implicit sensual tone
egz8WFlk9r4,child directed,Storytelling,,Ad of a vlog of a young kid playing in a cardboard fort
gIBKqh_OMYc,irrelevant,Music & Performance,,A traditional band playing music
ol65vGzjAv0,irrelevant,Food and Cooking,,ad for an instant spice supplement for use in foods
U2xmfJEUQgQ,irrelevant,Autos & Vehicles,,Ad for a nissan suv with its features explained
lXLT25mCiKE,child directed,Storytelling,,Ad of a vlog of a young kid taking photos
gBaZV7qB-sc,irrelevant,Software,,Computer aided design software for engineers. ad shows its advantages over a manual system
oWbhqm4zjP0,irrelevant,Software,,Ad shows a walkthrough of an app that can be used to rent out robotics equipment
xbmDg5mnaps,inappropriate,Display of weapons,Extreme,Ad shows a trailer of a moive. Shows gruesome depictions of war and warzones with dead people lying on the ground
-bBQvEo02CA,inaudible,Music & Performance,,Ad shows photos of 6 people with some sanskrit text. Audio is of a music but cannot understand
oWCK5j_XNbQ,inappropriate,"Drinking, drugs, smoking",Extreme,Ad shows a woman smoking a cigar
lu3jxD-nzSQ,inappropriate,Display of weapons,Extreme,"Ad of a rap music video. Contains a marijuana joint, display of guns, kidnapping and dead people at the end"
ZTUoDmiUzRo,inappropriate,Intimacy,Mild,Nothing explicit in the video. Titile however is timeless love and contains themes of intimacy
96CgTFsdjJQ,inaudible,Different Language,,Nothing explicit in the video. Audio in foreign language so cannot make out lyrics
SPcyXSmnnEI,irrelevant,Home and Lifestyle,,Ad for a reality show giving house makeovers
-QFqUSTt8IM,irrelevant,Tech & Gadgets,,Ad about a promotion on smartphones
KjK06CxurgA,inappropriate,Death,Extreme,Movie trailer. Has scenes where dead bodies were being carried to a hospital bed
Ovz4PzLbaj4,irrelevant,Education & Learning,,Ad promoting higher education in colombo and australia
yRQWFoyFuWQ,irrelevant,Education & Learning,,ad about the popular english language test toefl. showing the perks of the test
qWFcB3ZqYpQ,inappropriate,Intimacy,Mild,Ad showing a couple having close contact in the music video.
TlWQUx7dRxg,irrelevant,Software,,Ad for easypaisa to send money online. shows a family sending money to somone in a different area
K77-yXo-0r0,irrelevant,Nature & Environment,,shows flowers
0fxHu4MVujg,inappropriate,Gambling,Mild,Ad is about a sandbox game where there is virtual areas which you can buy and sell on real money and NFTs which has an associated gambling risk. The app's website also lists it as 18+
MA4I7SwfLEQ,inappropriate,Intimacy,Mild,music Ad contains subtle sensual scenes
zz1xcDrqplM,inappropriate,Intimacy,Mild,music Ad contains subtle sensual scenes of people flirting.
c46Psa0YiuA,inappropriate,Extreme stunts ,Mild,"Ad shows a kpop video. However, shows a person sitting on a burining sofa which can be a hazard for children"
LY6ZmEGlsTQ,irrelevant,Sports & Athletics,,Ad for snowboarding equipment
F8RezGsOVho,inappropriate,Scariness,Mild,Ad shows a movie trailer and shouting with the woman in a fetal position. Could be problematic for children
Uix8kB4TPnY,irrelevant,Music & Performance,,Ad shows a music video where kids enjoying their life even if it seems as if they are in poverty
WuQPgslOExk,irrelevant,Music & Performance,,Ad shows a man standing in a building. 
OHiotm-WzYE,irrelevant,Fashion,,Ad for women's shows
gsXOUOlnot8,inappropriate,Display of weapons,Moderate,Punjabi song with multiple references to guns (1:47)
zaDth3Gsl8U,inappropriate,Scariness,Moderate,Medical Procedures and stressful situations shown not appropraite for children
xQhOCdnkYh0,irrelevant,Tech & Gadgets,,Shows a family winning a prize by the tech company dialog
t02fDghn-t8,inappropriate,Offensive language,Moderate,Punjabi song with frequent use of explicit language
I4FM2nhMo6E,irrelevant,Music & Performance,,Ad showing a studio performance of a rock song.
i--qBLB_Wfg,irrelevant,Travel & Adventure,,Ad showing a large family resort at orlando with people in pools etc
acHWusVlU_M,irrelevant,Software,,"grammarly, a service focused on fixing grammatical mistakes in documents. video depicts users using the service"
tzJIIi4Q1m0,child directed,DIY & Arts and Crafts,,Ad for a kids series to learn drawing different objects
Mw6ytQMQGNI,inappropriate,"Drinking, drugs, smoking",Moderate,Punjabi music ad. Shows people drinking beer
T5Mgj5fI6gc,irrelevant,Sports & Athletics,,Ad about a scuba diving company and how they carry out their activities
CpYoMDK3XIs,irrelevant,Home and Lifestyle,,Ad about a house electricity service provider
f0h2FRK_HjE,inappropriate,Display of weapons,Extreme,Punjabi Music ad. Shows a woman trying to hold a gun sensually but finger on the trigger.
7pM9ItUtWeM,irrelevant,Tech & Gadgets,,Ad for a sale on smartphones by redeeming points
u4I93RiV0w0,child directed,Storytelling,,Ad of a vlog of a young kid trying to guess logos
1UKKXFir0Cc,inappropriate,Gambling,Mild,Ad is about a sandbox game where there is virtual areas which you can buy and sell on real money and NFTs which has an associated gambling risk. The app's website also lists it as 18+
