Video Link,Primary Tag,Secondary Tag,Rating,Description
https://www.youtube.com/watch?v=89hxA08DHgE,irrelevant,Software,,A short ad about a software that helps develop more softwares
https://www.youtube.com/watch?v=an-96DZu5uk,child directed,Toys,,Children playing with Hotwheels cars. Target audience are kids
https://www.youtube.com/watch?v=kzcYiWy6Fe4,child directed,Play and Adventure,,Advertisment for children activities at a hotel/community club. Children can be seen playing around
https://www.youtube.com/watch?v=10NuWGwQBIk,inappropriate,Scariness,Moderate,The video game in the ad is a horror game but it's age rating is 9+ and does not contain any visible killing or violence. However it does include a few jump scares and a slightly creepy theme for younger audience
https://www.youtube.com/watch?v=-ma-zLlW8oE,irrelevant,Travel & Adventure,,Advertisment for an online market place for vacation rentals
https://www.youtube.com/watch?v=3OlWU45Sq9Q,irrelevant,Software,,"Though the ad was in a different language, could guess from a few keywords that it was trying to promote an AI software"
https://www.youtube.com/watch?v=SY3qanb6MYE,irrelevant,Home and Lifestyle,,A website for roller shutters for homes and offices to provide shade against sun protection
https://www.youtube.com/watch?v=HkwMY0xrs8M,irrelevant,Travel & Adventure,,The ad contained people and children skiing. The ad had no audio.
https://www.youtube.com/watch?v=miVlGrCBAE8,inappropriate,Scariness,Mild,"A movie trailer on Anne Frank that contained a few clips of violence, fire and screams. Is also rated TV-14 so not suitable for kids in our age range"
https://www.youtube.com/watch?v=v0ilN9wB2Cw,irrelevant,Education & Learning,,The ad was in a different language so wasn't able to fully understand but was could guess from a few keywords that it was probably about their bachelors degrees from a certain instituition that they were trying to promote
https://www.youtube.com/watch?v=4KYK9tIQ4NQ,irrelevant,Travel & Adventure,,Advertisment for an online market place for vacation rentals and new homes
https://www.youtube.com/watch?v=Zhfya7tKOQQ,irrelevant,Home and Lifestyle,,Advertisment for an online market place for home appliances and furniture
https://www.youtube.com/watch?v=LY2dO81sJWg,irrelevant,Fashion,,Advertisment for a shoe brand
https://www.youtube.com/watch?v=2JCtG_URvBI,irrelevant,Fashion,,Advertisment for a shoe brand
https://www.youtube.com/watch?v=pfw5eBFwY8g,inaudible,Different Language,,A youtuber goes around talking to different people. The person is talking in a different language so can't really tell what the questions asked are about
https://www.youtube.com/watch?v=WlARRkI4ZMc,irrelevant,Fashion,,Advertisment for a shoe brand
https://www.youtube.com/watch?v=AZl0knF_25k,irrelevant,Finance & Legal,,Advertisment promoting a management consultancy company
https://www.youtube.com/watch?v=NmKL8hq4El0,irrelevant,Software,,Software for managing data and collaboration on team projects
https://www.youtube.com/watch?v=MiL1hMXpXdw,excluded,Food and Cooking,,Tea ad giving free Umrah tickets in lucky draw
https://www.youtube.com/watch?v=npyn7CDAFO8,inappropriate,Scariness,Mild,"Yu-Gi cards unboxing video. The cards contain illustrations that might be inappropriate for younger audience, showing weapons, violence and scary characters that may not be suitable for younger audience"
https://www.youtube.com/watch?v=B1zyJGOr5-s,irrelevant,Education & Learning,,"Grammarly ad, software that helps with grammatical errors and sentence structure."
https://www.youtube.com/watch?v=_BkMz-SieCU,irrelevant,Business & Entrepreneurship,,"A website that provides different services related to aviation, facility and industrial"
https://www.youtube.com/watch?v=y-ulEmn1NFc,child directed,Toys,,Police car toy set for kids
https://www.youtube.com/watch?v=HEaikVlUgMY,irrelevant,Software,,"Adobe acrobat ad, for editing docs and pdf "
https://www.youtube.com/watch?v=ekAARQz-ezE,irrelevant,Home and Lifestyle,,Online bathroom retailer ad for selling toiletries and bathroom equipment
https://www.youtube.com/watch?v=oVpvaUBdTjA,irrelevant,Fashion,,Advertisment for a shoe brand
https://www.youtube.com/watch?v=CxUcLE-SuqE,irrelevant,Software,,App allows merchants to customize products on shopify and get previews for their products
https://www.youtube.com/watch?v=-9m710pHDK4,inappropriate,Intimacy,Mild,Music video includes intimacy/relationships
https://www.youtube.com/watch?v=_UFkghfhSa4,irrelevant,Tech & Gadgets,,A website for buying flow meters to measure temperature/pressure
https://www.youtube.com/watch?v=EUkgufXpSUw,irrelevant,Business & Entrepreneurship,,"A talk with business experts. Although the talk is in a different language, some keywords impy that its about entrepreneurship"
https://www.youtube.com/watch?v=f-t01OW01Bw,inaudible,Different Language,,Different language. Not able to understand. Visual content is not inappropriate
https://www.youtube.com/watch?v=V-pMvtbFRVs,child directed,Fashion,,Kids clothing brand ad. Might excite younger audience to buy these
https://www.youtube.com/watch?v=cXkwUS2_hCE,irrelevant,Finance & Legal,,Business account ad to manage finances 
https://www.youtube.com/watch?v=N87P2nzX7Ts,irrelevant,Home and Lifestyle,,Ikea ad for house items and furniture
https://www.youtube.com/watch?v=pf2VCoJegWo,child directed,Cartoons,,Promoting a new Cartoon series for kids 
https://www.youtube.com/watch?v=n0MfXP-xJwU,child directed,Non-violent video games,,Paw petrol playstation ad. Inlcude mild action but nothing inappropriate 
https://www.youtube.com/watch?v=2MZorrqQ32U,irrelevant,Home and Lifestyle,,Fast cables ad (lights bulbs) 
https://www.youtube.com/watch?v=a_0zhzLg8I0,irrelevant,Gaming & Entertainment,,Nerf gun ad. involves a bit of action with teenagers holding the gun. Not for kids
https://www.youtube.com/watch?v=x4JQiCQqMVw,irrelevant,Software,,Cyber security software ad
https://www.youtube.com/watch?v=B18zadb2Dm0,irrelevant,Gaming & Entertainment,,Youtube Premium ad
https://www.youtube.com/watch?v=wZ7Amwl-YAk,irrelevant,Machinery,,"Brand ad for machinery including washing machines, drill machines and cutters"
https://www.youtube.com/watch?v=-7Y-Y8vBNJw,child directed,Fashion,,Ad for school bags
https://www.youtube.com/watch?v=-tnEqm9rric,irrelevant,Travel & Adventure,,App for booking tourism guides
https://www.youtube.com/watch?v=nOzWKOwQ-fk,child directed,Toys,,Doll toys ad
https://www.youtube.com/watch?v=NQTlmeBEpiQ,irrelevant,Home and Lifestyle,,Walk in bath tub ad. target audience is older people that find it difficult to use the traditional bath tub
https://www.youtube.com/watch?v=bzDD8ItXmXY,inappropriate,Different Language,Mild,"Software for people in marketing and business. The narrator uses wtf once, but the rest of it is irrelevant"
https://www.youtube.com/watch?v=RH45frlpUcE,irrelevant,Parenting & Family,,Pram/ baby walker ad. Even though the ad looks child directed at the start because includes animations but kids are not the target audience to sell walkers to 
https://www.youtube.com/watch?v=j1ObHbgNaEI,irrelevant,Travel & Adventure,,Rental car app for trips
https://www.youtube.com/watch?v=WpvfczxbkyQ,child directed,DIY & Arts and Crafts,,A cartoon show/story for kids to make DIY content
https://www.youtube.com/watch?v=5t_XFUloS0M,irrelevant,Finance & Legal,,Ad for an injury law firm
https://www.youtube.com/watch?v=1sHXBJC1qBo,irrelevant,Sports & Athletics,,Ad for british basketball league highlights
https://www.youtube.com/watch?v=QxFRRdfi5e4,inappropriate,"Drinking, drugs, smoking",Moderate,Music video includes a person drinking
https://www.youtube.com/watch?v=WfTGeSPRU6Q,inappropriate,Physical Violence,Mild,Pg rated mario movie with mild violence and action
https://www.youtube.com/watch?v=AM9HtxiV_lI,irrelevant,Music & Performance,,Instrumental music video of people playing different instruments
https://www.youtube.com/watch?v=OZVZ0epAEqc,irrelevant,Gaming & Entertainment,,YouTube Premium ad
https://www.youtube.com/watch?v=zOLL_mgjHU4,irrelevant,Personal Care & Beauty,,Makeup tutorial and beauty tips ad
https://www.youtube.com/watch?v=BGSkohhD6pg,irrelevant,Home and Lifestyle,,Dyson ad for home vaccuum cleaner
https://www.youtube.com/watch?v=ZeOijkWksWg,irrelevant,Gaming & Entertainment,,YouTube Premium ad
https://www.youtube.com/watch?v=ae2jsanM6Sg,irrelevant,Parenting & Family,,Pram/ baby seater ad. Even though the ad looks child directed at the start but kids are not the target audience to sell seaters to 
https://www.youtube.com/watch?v=Wkh1TrFmHPo,child directed,Toys,,Thomas and friends train adventure toy set ad
https://www.youtube.com/watch?v=_W6im5sQiyw,irrelevant,Tech & Gadgets,,Electronics company ad
https://www.youtube.com/watch?v=IdTbQwiRT7A,child directed,Non-violent video games,,Nintendo switch mario game ad includes mild action
https://www.youtube.com/watch?v=YHGUnllob6E,irrelevant,Software,,Teleprompter for zoom to help read of screen without anyone seeing
https://www.youtube.com/watch?v=JIz1nIaOFOg,irrelevant,Software,,"Software for shopping dedicated servers, private/public clouds"
https://www.youtube.com/watch?v=yJvL25QgNE0,irrelevant,Home and Lifestyle,,Ad for bedding and furniture
https://www.youtube.com/watch?v=6JupiyL24T8,irrelevant,Travel & Adventure,,App for booking tourism guides
https://www.youtube.com/watch?v=1_FURuXWcMg,irrelevant,Gaming & Entertainment,,Nerf gun ad. involves a bit of action with teenagers holding the gun.
https://www.youtube.com/watch?v=_uWky8aSjb0,irrelevant,Art & Design,,A website for shopping and ordering customized business cards
https://www.youtube.com/watch?v=a5MKiE78QXg,child directed,Fashion,,Website to buy kids tshirts and clothing
https://www.youtube.com/watch?v=pOQK9KTlG6c,irrelevant,Art & Design,,A website for shopping and ordering customized business cards
https://www.youtube.com/watch?v=L5SGkW8BLbk,child directed,Play and Adventure,,Kids amusement park and arcade zone ad
https://www.youtube.com/watch?v=bYlamYW-YqA,irrelevant,Gaming & Entertainment,,YouTube Premium ad
https://www.youtube.com/watch?v=8qzXrLPd1qY,child directed,Educational Content,,Website to help kids with educational content and learning
https://www.youtube.com/watch?v=zaYMnSkDzBs,irrelevant,Software,,Software for 3D modelling in business
https://www.youtube.com/watch?v=yGJOwCvijP4,irrelevant,Home and Lifestyle,,Ikea ad for house items and furniture
https://www.youtube.com/watch?v=Y8q2CyHMykE,irrelevant,Home and Lifestyle,,Ad for wooden tables and furniture
https://www.youtube.com/watch?v=fOdo1GkzZAk,child directed,Educational Content,,Website to help kids with educational content and learning
